epoch,avg_loss,gradient,gradient_2nd,abs_gradient
1,0.417564,-0.010228000000000015,0.0006630000000000247,0.010228000000000015
2,0.407336,-0.00956499999999999,0.001440250000000018,0.00956499999999999
3,0.398434,-0.007347499999999979,0.0023119999999999946,0.007347499999999979
4,0.392641,-0.004941000000000001,0.0012089999999999879,0.004941000000000001
5,0.388552,-0.004929500000000003,-0.00018775000000000042,0.004929500000000003
6,0.382782,-0.005316500000000002,-4.824999999999968e-05,0.005316500000000002
7,0.377919,-0.005026000000000003,3.250000000000475e-05,0.005026000000000003
8,0.37273,-0.005251499999999992,-0.00026225000000000553,0.005251499999999992
9,0.367416,-0.005550500000000014,-0.0001840000000000036,0.005550500000000014
10,0.361629,-0.0056194999999999995,-2.849999999998687e-05,0.0056194999999999995
11,0.356177,-0.0056074999999999875,0.0001627499999999893,0.0056074999999999875
12,0.350414,-0.005294000000000021,0.00043024999999999314,0.005294000000000021
13,0.345589,-0.004747000000000001,0.0002465000000000106,0.004747000000000001
14,0.34092,-0.004801,-3.0500000000002747e-05,0.004801
15,0.335987,-0.004808000000000007,0.00022650000000000448,0.004808000000000007
16,0.331304,-0.004347999999999991,0.0003020000000000106,0.004347999999999991
17,0.327291,-0.0042039999999999855,0.00020850000000000035,0.0042039999999999855
18,0.322896,-0.00393099999999999,0.00037749999999998896,0.00393099999999999
19,0.319429,-0.0034490000000000076,0.00019724999999999604,0.0034490000000000076
20,0.315998,-0.003536499999999998,-3.625000000000156e-05,0.003536499999999998
21,0.312356,-0.0035215000000000107,0.00012224999999999042,0.0035215000000000107
22,0.308955,-0.003292000000000017,0.0001867500000000133,0.003292000000000017
23,0.305772,-0.003147999999999984,0.00017225000000001267,0.003147999999999984
24,0.302659,-0.002947499999999992,0.00013399999999999523,0.002947499999999992
25,0.299877,-0.0028799999999999937,9.224999999998817e-05,0.0028799999999999937
26,0.296899,-0.0027630000000000154,0.0001729999999999926,0.0027630000000000154
27,0.294351,-0.0025340000000000085,0.0001912500000000178,0.0025340000000000085
28,0.291831,-0.00238049999999998,0.00014600000000000724,0.00238049999999998
29,0.28959,-0.002241999999999994,0.00012074999999998892,0.002241999999999994
30,0.287347,-0.002139000000000002,-0.00010650000000000936,0.002139000000000002
31,0.285312,-0.0024550000000000127,-0.00018224999999999492,0.0024550000000000127
32,0.282437,-0.002503499999999992,0.00015525000000000955,0.002503499999999992
33,0.280305,-0.0021444999999999936,0.0003549999999999942,0.0021444999999999936
34,0.278148,-0.0017935000000000034,0.0003502499999999964,0.0017935000000000034
35,0.276718,-0.0014440000000000008,-9.125000000000105e-05,0.0014440000000000008
36,0.27526,-0.0019760000000000055,-0.000425250000000002,0.0019760000000000055
37,0.272766,-0.002294500000000005,0.00018925000000000192,0.002294500000000005
38,0.270671,-0.0015975000000000017,0.0005225000000000091,0.0015975000000000017
39,0.269571,-0.0012494999999999867,-1.7000000000003124e-05,0.0012494999999999867
40,0.268172,-0.001631500000000008,-0.0002392500000000103,0.001631500000000008
41,0.266308,-0.0017280000000000073,-4.449999999998899e-05,0.0017280000000000073
42,0.264716,-0.001720499999999986,0.00015774999999999817,0.001720499999999986
43,0.262867,-0.001412500000000011,0.0003252499999999853,0.001412500000000011
44,0.261891,-0.0010700000000000154,0.00010100000000000386,0.0010700000000000154
45,0.260727,-0.0012105000000000032,-6.499999999992623e-06,0.0012105000000000032
46,0.25947,-0.0010830000000000006,4.975000000000118e-05,0.0010830000000000006
47,0.258561,-0.0011110000000000009,-0.00013349999999999473,0.0011110000000000009
48,0.257248,-0.00134999999999999,-0.00037299999999999833,0.00134999999999999
49,0.255861,-0.0018569999999999975,0.00014924999999998967,0.0018569999999999975
50,0.253534,-0.0010515000000000108,0.0005597499999999977,0.0010515000000000108
51,0.253758,-0.000737500000000002,-0.00020624999999999116,0.000737500000000002
52,0.252059,-0.001463999999999993,-0.00019374999999999254,0.001463999999999993
53,0.25083,-0.0011249999999999871,0.0002627499999999991,0.0011249999999999871
54,0.249809,-0.0009384999999999949,4.749999999999199e-05,0.0009384999999999949
55,0.248953,-0.0010300000000000031,-0.00027325000000000266,0.0010300000000000031
56,0.247749,-0.0014850000000000002,6.700000000000456e-05,0.0014850000000000002
57,0.245983,-0.000895999999999994,0.0005742499999999984,0.000895999999999994
58,0.245957,-0.00033650000000000346,-0.00016775000000000817,0.00033650000000000346
59,0.24531,-0.0012315000000000104,-0.00032374999999999765,0.0012315000000000104
60,0.243494,-0.0009839999999999988,2.7250000000006436e-05,0.0009839999999999988
61,0.243342,-0.0011769999999999975,-7.875000000000243e-05,0.0011769999999999975
62,0.24114,-0.0011415000000000036,0.0003125000000000003,0.0011415000000000036
63,0.241059,-0.0005519999999999969,7.550000000000612e-05,0.0005519999999999969
64,0.240036,-0.0009904999999999914,-6.0749999999998305e-05,0.0009904999999999914
65,0.239078,-0.0006734999999999935,0.00018074999999999342,0.0006734999999999935
66,0.238689,-0.0006290000000000046,-3.925000000000456e-05,0.0006290000000000046
67,0.23782,-0.0007520000000000027,-0.00014424999999999855,0.0007520000000000027
68,0.237185,-0.0009175000000000016,-0.00010399999999999993,0.0009175000000000016
69,0.235985,-0.0009600000000000025,9.875000000000161e-05,0.0009600000000000025
70,0.235265,-0.0007199999999999984,0.0002400000000000041,0.0007199999999999984
